[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  LATENT_DIM = 2
  EPOCHS = 1000
  BATCH = 256
  LR = 0.001
  WEIGHT_DECAY = 1e-06
  VAL_FRAC = 0.1
  SEED = 0
  ALPHA_INIT = 0.2
  ALPHA_LEARN = False
  GAT_LR_MULT = 0.2
  GAT_DIM = 16
  GAT_HEADS = 4
  GAT_LAYERS = 2
  GAT_READOUT_DIM = 1
  N_NEIGHBORS = 15
  GRAPH_METRIC = euclidean
  EDGE_BATCH = 256
  LAMBDA_FSCE = 0.01
  WARMUP_EPOCHS = 200
  NOISE_P = 0.3
  NOISE_MODE = thinning
  NOISE_OD_P = 0.3

1233 個 patch，device=mps，噪聲 thinning p=0.3
OD：100.0% 的 patch 有觀測，總量中位數 44，最大 10449
FSCE graph：24900 條邊，a=1.5769 b=0.8951
參數量 38173（GAT 分支 11537，lr x0.2）
epoch  560 | train_nll -1.32103 | train_fsce 0.47252 | val_dev 0.68364 | expl_dev 0.53774 | gat_gain +0.01164 | alpha 0.2000
epoch  565 | train_nll -1.32136 | train_fsce 0.48323 | val_dev 0.69785 | expl_dev 0.52813 | gat_gain +0.01189 | alpha 0.2000
epoch  570 | train_nll -1.32689 | train_fsce 0.47094 | val_dev 0.68574 | expl_dev 0.53632 | gat_gain +0.02735 | alpha 0.2000
epoch  575 | train_nll -1.31532 | train_fsce 0.45570 | val_dev 0.69276 | expl_dev 0.53157 | gat_gain +0.02145 | alpha 0.2000
epoch  580 | train_nll -1.32265 | train_fsce 0.46964 | val_dev 0.70250 | expl_dev 0.52499 | gat_gain +0.00614 | alpha 0.2000
epoch  585 | train_nll -1.32740 | train_fsce 0.49264 | val_dev 0.70237 | expl_dev 0.52507 | gat_gain +0.00458 | alpha 0.2000
epoch  590 | train_nll -1.31875 | train_fsce 0.47142 | val_dev 0.67776 | expl_dev 0.54171 | gat_gain +0.00262 | alpha 0.2000
epoch  595 | train_nll -1.32112 | train_fsce 0.48284 | val_dev 0.68260 | expl_dev 0.53844 | gat_gain +0.00891 | alpha 0.2000
epoch  600 | train_nll -1.32739 | train_fsce 0.47984 | val_dev 0.70124 | expl_dev 0.52584 | gat_gain +0.00591 | alpha 0.2000
epoch  605 | train_nll -1.33068 | train_fsce 0.46730 | val_dev 0.68226 | expl_dev 0.53867 | gat_gain +0.02620 | alpha 0.2000
