[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  LATENT_DIM = 2
  EPOCHS = 1000
  BATCH = 256
  LR = 0.001
  WEIGHT_DECAY = 1e-06
  VAL_FRAC = 0.1
  SEED = 0
  ALPHA_INIT = 0.5
  ALPHA_LEARN = False
  GAT_LR_MULT = 0.2
  GAT_DIM = 16
  GAT_HEADS = 4
  GAT_LAYERS = 2
  GAT_READOUT_DIM = 1
  N_NEIGHBORS = 15
  GRAPH_METRIC = euclidean
  EDGE_BATCH = 256
  LAMBDA_FSCE = 0.01
  WARMUP_EPOCHS = 200
  NOISE_P = 0.3
  NOISE_MODE = thinning
  NOISE_OD_P = 0.3

1233 個 patch，device=mps，噪聲 thinning p=0.3
OD：100.0% 的 patch 有觀測，總量中位數 44，最大 10449
FSCE graph：24900 條邊，a=1.5769 b=0.8951
參數量 38173（GAT 分支 11537，lr x0.2）
epoch  340 | train_nll -1.30543 | train_fsce 0.53081 | val_dev 0.73868 | expl_dev 0.50052 | gat_gain +0.03499 | alpha 0.5000
epoch  345 | train_nll -1.30109 | train_fsce 0.54663 | val_dev 0.71632 | expl_dev 0.51564 | gat_gain +0.04374 | alpha 0.5000 *
epoch  350 | train_nll -1.30351 | train_fsce 0.52737 | val_dev 0.72767 | expl_dev 0.50797 | gat_gain +0.03477 | alpha 0.5000
epoch  355 | train_nll -1.31000 | train_fsce 0.56161 | val_dev 0.72057 | expl_dev 0.51276 | gat_gain +0.03605 | alpha 0.5000
epoch  360 | train_nll -1.30738 | train_fsce 0.54199 | val_dev 0.71982 | expl_dev 0.51327 | gat_gain +0.04042 | alpha 0.5000
epoch  365 | train_nll -1.30717 | train_fsce 0.53206 | val_dev 0.71241 | expl_dev 0.51828 | gat_gain +0.04482 | alpha 0.5000 *
epoch  370 | train_nll -1.30401 | train_fsce 0.54644 | val_dev 0.73036 | expl_dev 0.50615 | gat_gain +0.05189 | alpha 0.5000
epoch  375 | train_nll -1.30588 | train_fsce 0.54327 | val_dev 0.72711 | expl_dev 0.50834 | gat_gain +0.03806 | alpha 0.5000
epoch  380 | train_nll -1.30847 | train_fsce 0.55377 | val_dev 0.71524 | expl_dev 0.51637 | gat_gain +0.05032 | alpha 0.5000
epoch  385 | train_nll -1.31129 | train_fsce 0.50869 | val_dev 0.71657 | expl_dev 0.51547 | gat_gain +0.04337 | alpha 0.5000
